Type,Severity,start_time,end_time
Rain,Light,2022-04-22 21:13:36,2022-04-22 22:20:36
Rain,Light,2022-04-23 04:43:36,2022-04-23 05:20:36
Rain,Light,2022-04-25 23:20:36,2022-04-26 02:20:36
Rain,Light,2022-04-27 10:05:36,2022-04-27 10:20:36
Snow,Heavy,2022-04-27 11:00:36,2022-04-27 11:28:36
Snow,Light,2022-04-27 11:28:36,2022-04-27 11:48:36
Snow,Moderate,2022-04-27 11:48:36,2022-04-27 12:31:36
Snow,Light,2022-04-27 12:31:36,2022-04-27 12:46:36
Rain,Light,2022-04-27 12:46:36,2022-04-27 12:53:36
Snow,Moderate,2022-04-27 12:53:36,2022-04-27 13:20:36
Snow,Heavy,2022-04-27 13:20:36,2022-04-27 13:54:36
Snow,Light,2022-04-27 14:47:36,2022-04-27 15:20:36
Snow,Heavy,2022-04-27 15:20:36,2022-04-27 16:20:36
Snow,Heavy,2022-04-27 16:59:36,2022-04-27 18:26:36
Snow,Light,2022-04-27 18:26:36,2022-04-27 18:58:36
Snow,Moderate,2022-04-27 18:58:36,2022-04-27 19:34:36
Snow,Light,2022-04-27 19:34:36,2022-04-27 20:20:36
Snow,Moderate,2022-04-27 20:20:36,2022-04-27 21:20:36
Snow,Light,2022-04-27 21:20:36,2022-04-27 23:20:36
Rain,Light,2022-04-29 02:20:36,2022-04-29 05:20:36
Rain,Moderate,2022-04-29 05:20:36,2022-04-29 06:38:36
Precipitation,UNK,2022-04-29 07:20:36,2022-04-29 07:44:36
Rain,Light,2022-04-29 07:44:36,2022-04-29 08:20:36
Rain,Moderate,2022-04-29 08:20:36,2022-04-29 08:23:36
Rain,Light,2022-04-29 08:55:36,2022-04-29 10:20:36
Rain,Moderate,2022-04-29 10:20:36,2022-04-29 11:20:36
Rain,Light,2022-04-29 11:20:36,2022-04-29 13:20:36
Fog,Severe,2022-04-30 01:20:36,2022-04-30 01:50:36
Rain,Light,2022-04-30 04:20:36,2022-04-30 04:47:36
Fog,Severe,2022-04-30 04:47:36,2022-04-30 05:20:36
Rain,Light,2022-04-30 05:20:36,2022-04-30 07:09:36
Rain,Light,2022-04-30 08:20:36,2022-04-30 09:20:36
Rain,Light,2022-04-30 10:20:36,2022-04-30 13:20:36
Precipitation,UNK,2022-04-30 14:20:36,2022-04-30 14:22:36
Rain,Moderate,2022-04-30 14:58:36,2022-04-30 15:08:36
Precipitation,UNK,2022-04-30 15:20:36,2022-04-30 15:37:36
Rain,Light,2022-04-30 15:37:36,2022-04-30 18:20:36
Rain,Light,2022-04-30 19:20:36,2022-04-30 21:29:36
Rain,Moderate,2022-04-30 21:29:36,2022-04-30 22:20:36
Rain,Heavy,2022-04-30 22:20:36,2022-04-30 22:29:36
Rain,Light,2022-04-30 22:29:36,2022-04-30 23:20:36
Rain,Moderate,2022-04-30 23:20:36,2022-04-30 23:59:36
Rain,Light,2022-04-30 23:59:36,2022-05-01 00:20:36
Rain,Moderate,2022-05-01 00:20:36,2022-05-01 01:20:36
Rain,Light,2022-05-01 01:20:36,2022-05-01 03:59:36
Rain,Moderate,2022-05-01 03:59:36,2022-05-01 05:13:36
Rain,Light,2022-05-01 05:13:36,2022-05-01 05:53:36
Rain,Light,2022-05-01 06:15:36,2022-05-01 07:16:36
Fog,Severe,2022-05-02 01:38:36,2022-05-02 06:41:36
Rain,Light,2022-05-02 08:20:36,2022-05-02 10:20:36
Rain,Moderate,2022-05-02 10:20:36,2022-05-02 11:20:36
Rain,Light,2022-05-02 14:20:36,2022-05-02 16:20:36
Rain,Light,2022-05-02 17:20:36,2022-05-02 18:20:36
Fog,Severe,2022-05-02 21:20:36,2022-05-02 22:12:36
Rain,Light,2022-05-02 22:12:36,2022-05-02 23:20:36
Rain,Light,2022-05-03 19:20:36,2022-05-03 20:20:36
Rain,Light,2022-05-06 11:56:36,2022-05-06 14:20:36
Rain,Light,2022-05-07 00:20:36,2022-05-07 02:20:36
Rain,Moderate,2022-05-07 02:20:36,2022-05-07 02:39:36
Rain,Light,2022-05-07 02:39:36,2022-05-07 03:03:36
Rain,Moderate,2022-05-07 03:03:36,2022-05-07 03:34:36
Rain,Light,2022-05-07 03:34:36,2022-05-07 06:20:36
Rain,Light,2022-05-07 07:20:36,2022-05-07 08:20:36
Rain,Light,2022-05-07 09:20:36,2022-05-07 11:04:36
Rain,Light,2022-05-08 04:20:36,2022-05-08 06:20:36
Rain,Light,2022-05-08 22:49:36,2022-05-08 23:50:36
Rain,Moderate,2022-05-08 23:50:36,2022-05-09 00:30:36
Rain,Light,2022-05-09 00:30:36,2022-05-09 01:26:36
Rain,Moderate,2022-05-09 01:26:36,2022-05-09 03:20:36
Rain,Heavy,2022-05-09 03:20:36,2022-05-09 03:56:36
Rain,Moderate,2022-05-09 03:56:36,2022-05-09 04:39:36
Rain,Light,2022-05-09 04:39:36,2022-05-09 05:54:36
Fog,Severe,2022-05-09 05:54:36,2022-05-09 06:44:36
Rain,Light,2022-05-11 14:20:36,2022-05-11 18:20:36
Rain,Light,2022-05-12 17:20:36,2022-05-12 23:20:36
Rain,Light,2022-05-16 11:59:36,2022-05-16 13:20:36
Rain,Light,2022-05-16 15:20:36,2022-05-16 16:20:36
Rain,Light,2022-05-16 21:43:36,2022-05-16 22:20:36
Rain,Light,2022-05-16 23:07:36,2022-05-16 23:20:36
Rain,Light,2022-05-17 00:20:36,2022-05-17 00:29:36
Rain,Moderate,2022-05-17 01:02:36,2022-05-17 02:20:36
Rain,Light,2022-05-17 11:20:36,2022-05-17 13:20:36
Rain,Light,2022-05-17 18:20:36,2022-05-17 19:20:36
Rain,Light,2022-05-18 14:02:36,2022-05-18 14:20:36
Rain,Moderate,2022-05-18 14:20:36,2022-05-18 14:33:36
Rain,Light,2022-05-18 14:33:36,2022-05-18 14:50:36
Rain,Moderate,2022-05-18 15:20:36,2022-05-18 17:20:36
Rain,Light,2022-05-19 02:20:36,2022-05-19 03:20:36
Rain,Light,2022-05-19 04:20:36,2022-05-19 05:20:36
Rain,Light,2022-05-19 08:20:36,2022-05-19 08:41:36
Precipitation,UNK,2022-05-19 13:20:36,2022-05-19 13:38:36
Rain,Light,2022-05-19 14:20:36,2022-05-19 15:20:36
Rain,Light,2022-05-21 04:20:36,2022-05-21 08:20:36
Rain,Light,2022-05-21 09:20:36,2022-05-21 10:20:36
Rain,Light,2022-05-21 11:20:36,2022-05-21 12:20:36
Rain,Light,2022-05-22 00:20:36,2022-05-22 00:35:36
Rain,Moderate,2022-05-22 01:05:36,2022-05-22 02:00:36
Rain,Heavy,2022-05-22 02:00:36,2022-05-22 03:20:36
Rain,Light,2022-05-22 03:20:36,2022-05-22 04:10:36
Rain,Light,2022-05-22 23:20:36,2022-05-23 02:20:36
Rain,Light,2022-05-23 03:01:36,2022-05-23 03:20:36
Rain,Light,2022-05-24 05:20:36,2022-05-24 05:42:36
Rain,Light,2022-05-24 05:53:36,2022-05-24 07:20:36
Rain,Light,2022-05-26 09:20:36,2022-05-26 09:56:36
Rain,Light,2022-05-27 13:02:36,2022-05-27 14:07:36
Rain,Moderate,2022-05-27 14:07:36,2022-05-27 14:10:36
Precipitation,UNK,2022-05-27 14:10:36,2022-05-27 15:00:36
Rain,Moderate,2022-05-27 15:00:36,2022-05-27 15:34:36
Rain,Light,2022-05-27 15:58:36,2022-05-27 16:58:36
Precipitation,UNK,2022-05-27 17:20:36,2022-05-27 17:23:36
Fog,Severe,2022-05-27 19:54:36,2022-05-27 20:08:36
Rain,Light,2022-05-28 14:34:36,2022-05-28 15:20:36
Rain,Light,2022-05-28 20:56:36,2022-05-28 21:20:36
Precipitation,UNK,2022-05-28 21:54:36,2022-05-28 22:46:36
Rain,Light,2022-05-28 23:36:36,2022-05-29 04:20:36
Rain,Light,2022-05-30 02:20:36,2022-05-30 07:20:36
