EventId,Type,Severity,StartTime(UTC),EndTime(UTC),TimeZone,AirportCode,LocationLat,LocationLng,City,County,State,ZipCode
W-3483629,Rain,Light,2019-03-31 13:20:36,2019-03-31 14:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483630,Rain,Light,2019-03-31 17:20:36,2019-03-31 18:04:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483631,Rain,Moderate,2019-03-31 18:04:36,2019-03-31 18:31:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483632,Rain,Light,2019-03-31 18:31:36,2019-03-31 19:48:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483633,Rain,Moderate,2019-03-31 19:48:36,2019-03-31 20:55:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483634,Rain,Light,2019-03-31 20:55:36,2019-04-01 01:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483635,Rain,Light,2019-04-01 02:20:36,2019-04-01 03:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483636,Rain,Light,2019-04-01 05:09:36,2019-04-01 05:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483637,Rain,Light,2019-04-01 07:20:36,2019-04-01 08:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483638,Rain,Light,2019-04-01 12:46:36,2019-04-01 13:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483639,Rain,Light,2019-04-01 13:49:36,2019-04-01 14:13:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483640,Rain,Light,2019-04-01 22:50:36,2019-04-01 23:41:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483641,Rain,Light,2019-04-02 02:34:36,2019-04-02 04:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483642,Rain,Light,2019-04-02 08:20:36,2019-04-02 09:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483643,Rain,Light,2019-04-02 10:20:36,2019-04-02 11:54:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483644,Rain,Light,2019-04-02 17:20:36,2019-04-02 18:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483645,Snow,Light,2019-04-03 07:20:36,2019-04-03 09:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483646,Rain,Light,2019-04-03 10:20:36,2019-04-03 11:10:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483647,Storm,Severe,2019-04-03 11:10:36,2019-04-03 11:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483648,Snow,Light,2019-04-03 11:20:36,2019-04-03 12:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483649,Snow,Light,2019-04-03 12:33:36,2019-04-03 12:53:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483650,Snow,Light,2019-04-03 13:20:36,2019-04-03 15:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483651,Fog,Moderate,2019-04-03 15:20:36,2019-04-03 15:52:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483652,Snow,Light,2019-04-03 15:52:36,2019-04-03 16:03:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483653,Snow,Light,2019-04-03 16:20:36,2019-04-03 16:41:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483654,Snow,Light,2019-04-03 16:57:36,2019-04-03 17:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483655,Rain,Light,2019-04-04 19:20:36,2019-04-04 21:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483656,Rain,Light,2019-04-04 22:20:36,2019-04-05 00:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483657,Fog,Moderate,2019-04-05 11:44:36,2019-04-05 12:06:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483658,Snow,Light,2019-04-05 12:06:36,2019-04-05 20:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483659,Rain,Light,2019-04-06 18:20:36,2019-04-06 20:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483660,Rain,Light,2019-04-07 03:20:36,2019-04-07 04:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483661,Rain,Light,2019-04-07 07:20:36,2019-04-07 15:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483662,Rain,Light,2019-04-07 16:53:36,2019-04-07 20:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483663,Rain,Light,2019-04-07 21:07:36,2019-04-07 21:44:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483664,Rain,Light,2019-04-07 22:43:36,2019-04-08 00:05:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483665,Rain,Light,2019-04-08 00:20:36,2019-04-08 03:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483666,Rain,Light,2019-04-08 05:20:36,2019-04-08 06:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483667,Rain,Light,2019-04-08 07:54:36,2019-04-08 08:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483668,Rain,Light,2019-04-08 09:20:36,2019-04-08 09:39:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483669,Rain,Light,2019-04-08 11:20:36,2019-04-08 12:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483670,Rain,Light,2019-04-09 07:20:36,2019-04-09 10:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483671,Rain,Light,2019-04-09 11:20:36,2019-04-09 12:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483672,Rain,Light,2019-04-09 13:20:36,2019-04-09 14:05:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483673,Snow,Light,2019-04-09 21:59:36,2019-04-10 01:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483674,Snow,Light,2019-04-11 00:39:36,2019-04-11 00:48:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483675,Snow,Light,2019-04-11 01:20:36,2019-04-11 05:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
